account_id,customer_id,account_type,open_date,status,balance_eur
A0000001,C000931,Savings,2015-09-05,Active,9437.8
A0000002,C000307,Current,2023-06-22,Active,2460.8
A0000003,C000138,Savings,2019-05-15,Active,6046.99
A0000004,C000199,Current,2023-01-05,Active,1416.88
A0000005,C000132,Payroll,2023-07-22,Active,1817.26
A0000006,C000955,Savings,2014-06-28,Active,2376.02
A0000007,C000884,Payroll,2017-10-21,Active,6704.85
A0000008,C000811,Current,2022-05-18,Active,3684.17
A0000009,C000730,Current,2018-12-15,Active,-1500.0
A0000010,C000344,Current,2019-02-01,Active,8665.55
A0000011,C000476,Current,2019-09-12,Active,1387.3
A0000012,C000842,Savings,2021-01-06,Active,769.02
A0000013,C000815,Payroll,2023-05-20,Active,-1500.0
A0000014,C000519,Savings,2022-11-12,Active,4910.72
A0000015,C000838,Savings,2020-03-31,Active,2883.85
A0000016,C000347,Current,2019-10-07,Active,2879.72
A0000017,C000414,Current,2017-08-10,Active,969.27
A0000018,C000840,Savings,2015-03-01,Active,314.17
A0000019,C000377,Current,2021-01-31,Active,1095.59
A0000020,C000753,Current,2014-01-10,Active,4260.01
A0000021,C000454,Payroll,2020-12-23,Active,4928.65
A0000022,C000298,Payroll,2018-12-19,Active,1622.08
A0000023,C000219,Savings,2021-11-10,Active,6105.96
A0000024,C000607,Current,2023-06-27,Active,2199.9
A0000025,C000480,Payroll,2019-07-12,Active,583.94
A0000026,C000370,Current,2019-09-22,Active,3253.98
A0000027,C000744,Current,2018-11-14,Active,-1500.0
A0000028,C000002,Current,2017-09-23,Active,3384.33
A0000029,C000093,Payroll,2014-11-21,Active,-1500.0
A0000030,C000962,Payroll,2014-04-23,Active,-1405.36
A0000031,C000664,Savings,2021-03-23,Active,-1500.0
A0000032,C000550,Current,2023-02-22,Active,1834.56
A0000033,C000015,Savings,2014-07-16,Active,8616.61
A0000034,C000599,Current,2017-04-09,Active,2055.11
A0000035,C000435,Payroll,2020-01-29,Active,4945.62
A0000036,C000600,Current,2021-01-16,Active,11438.79
A0000037,C000042,Current,2021-05-07,Active,4035.41
A0000038,C000551,Savings,2020-12-08,Active,-407.81
A0000039,C000578,Savings,2014-11-03,Active,115.24
A0000040,C000291,Payroll,2016-07-15,Inactive,2502.5
A0000041,C000055,Current,2018-09-09,Active,95.0
A0000042,C000972,Payroll,2014-08-21,Active,379.27
A0000043,C000710,Current,2017-06-06,Active,6243.96
A0000044,C000622,Current,2017-11-06,Active,6399.39
A0000045,C000768,Savings,2023-10-11,Active,-1500.0
A0000046,C000671,Current,2017-03-03,Active,-609.04
A0000047,C000135,Savings,2023-09-16,Active,736.78
A0000048,C000455,Current,2020-12-30,Active,4776.54
A0000049,C000889,Current,2020-12-01,Active,6843.69
A0000050,C000288,Savings,2022-03-12,Active,12767.48
A0000051,C000973,Current,2022-06-02,Active,730.44
A0000052,C000065,Savings,2016-03-22,Active,920.23
A0000053,C000331,Savings,2018-03-17,Active,4736.57
A0000054,C000351,Current,2019-04-13,Active,-92.42
A0000055,C000618,Savings,2023-10-06,Active,1964.34
A0000056,C000177,Current,2014-05-29,Active,922.86
A0000057,C000230,Current,2018-10-07,Active,-1500.0
A0000058,C000663,Current,2016-02-22,Active,2968.29
A0000059,C000285,Payroll,2016-01-25,Active,1807.03
A0000060,C000880,Savings,2021-08-12,Active,7330.68
A0000061,C000871,Savings,2016-01-07,Inactive,2520.86
A0000062,C000303,Payroll,2021-12-05,Active,-1500.0
A0000063,C000560,Current,2023-12-07,Active,1519.22
A0000064,C000333,Payroll,2021-10-04,Active,-1500.0
A0000065,C000345,Savings,2015-09-13,Active,-1500.0
A0000066,C000671,Payroll,2015-06-04,Active,4914.92
A0000067,C000294,Payroll,2018-05-15,Active,1560.11
A0000068,C000150,Payroll,2019-07-05,Active,6005.53
A0000069,C000260,Current,2021-10-11,Active,-1500.0
A0000070,C000930,Savings,2018-03-23,Active,1578.65
A0000071,C000260,Payroll,2015-09-02,Active,693.05
A0000072,C000364,Savings,2023-11-28,Active,6132.22
A0000073,C000629,Current,2023-01-15,Inactive,5056.5
A0000074,C000102,Payroll,2020-07-15,Active,4940.56
A0000075,C000269,Current,2020-12-13,Active,8357.36
A0000076,C000175,Savings,2023-05-07,Active,1101.27
A0000077,C000925,Savings,2018-09-30,Active,7573.31
A0000078,C000933,Current,2015-06-15,Active,-1467.98
A0000079,C000756,Savings,2020-01-21,Inactive,-1500.0
A0000080,C000248,Current,2018-07-04,Active,5360.44
A0000081,C000617,Savings,2021-12-29,Active,-1500.0
A0000082,C000663,Payroll,2021-09-17,Active,4676.51
A0000083,C000870,Current,2018-09-17,Active,2884.99
A0000084,C000157,Savings,2017-09-04,Active,6573.04
A0000085,C000737,Current,2018-03-21,Active,2274.11
A0000086,C000195,Payroll,2020-04-27,Active,2712.99
A0000087,C000569,Payroll,2020-05-14,Active,4435.21
A0000088,C000880,Current,2019-02-11,Active,-18.07
A0000089,C000063,Savings,2019-04-26,Active,-183.58
A0000090,C000149,Savings,2023-11-30,Active,4302.83
A0000091,C000814,Savings,2016-07-15,Inactive,2388.71
A0000092,C000019,Savings,2015-09-27,Active,952.21
A0000093,C000686,Savings,2021-12-26,Active,2185.42
A0000094,C000502,Savings,2023-05-08,Active,8559.33
A0000095,C000347,Current,2020-01-31,Active,816.53
A0000096,C000863,Current,2018-01-05,Active,706.33
A0000097,C000849,Payroll,2017-06-26,Active,-1500.0
A0000098,C000326,Current,2018-09-05,Inactive,2339.06
A0000099,C000005,Savings,2014-07-11,Active,4996.16
A0000100,C000129,Current,2019-04-14,Active,5677.55
A0000101,C000108,Payroll,2016-09-11,Active,2911.23
A0000102,C000983,Savings,2016-08-26,Active,6132.17
A0000103,C000597,Current,2019-08-08,Inactive,5278.68
A0000104,C000677,Current,2023-08-19,Active,6729.21
A0000105,C000231,Current,2016-01-22,Active,6240.35
A0000106,C000851,Payroll,2023-02-09,Active,8465.92
A0000107,C000723,Savings,2019-03-11,Active,1855.17
A0000108,C000753,Savings,2023-09-22,Active,-1500.0
A0000109,C000469,Savings,2017-10-27,Active,5022.13
A0000110,C000699,Current,2023-12-18,Active,5466.1
A0000111,C000545,Current,2020-08-05,Active,8465.98
A0000112,C000385,Current,2020-09-10,Active,7368.9
A0000113,C000595,Current,2019-08-18,Inactive,9892.8
A0000114,C000325,Savings,2018-07-07,Active,4855.45
A0000115,C000953,Payroll,2019-04-01,Active,3369.48
A0000116,C000717,Payroll,2022-07-03,Active,-1500.0
A0000117,C000739,Payroll,2021-12-02,Active,3670.77
A0000118,C000717,Savings,2014-03-28,Active,400.49
A0000119,C000449,Current,2020-12-10,Active,3303.74
A0000120,C000951,Savings,2022-05-04,Active,2707.15
A0000121,C000208,Payroll,2021-06-09,Active,4292.59
A0000122,C000569,Savings,2018-12-21,Active,2130.14
A0000123,C000070,Savings,2017-05-09,Active,6053.08
A0000124,C000295,Savings,2020-09-23,Active,-1500.0
A0000125,C000575,Savings,2020-08-19,Inactive,3221.98
A0000126,C000490,Payroll,2017-09-27,Active,7069.46
A0000127,C000942,Savings,2018-01-23,Active,9606.18
A0000128,C000614,Current,2017-09-07,Inactive,5281.45
A0000129,C000412,Current,2014-06-14,Active,8902.56
A0000130,C000427,Savings,2014-04-26,Active,3141.96
A0000131,C000612,Current,2014-10-31,Inactive,2510.88
A0000132,C000792,Payroll,2018-03-27,Active,4511.78
A0000133,C000277,Savings,2019-02-07,Active,2487.86
A0000134,C000585,Savings,2018-01-30,Active,-472.96
A0000135,C000575,Current,2023-07-19,Active,542.09
A0000136,C000010,Savings,2016-03-31,Active,-1500.0
A0000137,C000913,Savings,2017-12-05,Active,4507.83
A0000138,C000570,Current,2016-06-21,Active,2543.29
A0000139,C000243,Payroll,2016-12-30,Active,1130.91
A0000140,C000634,Current,2019-11-03,Active,346.6
A0000141,C000678,Current,2017-02-05,Active,4419.21
A0000142,C000916,Current,2017-03-05,Active,5465.7
A0000143,C000035,Savings,2020-09-14,Active,-1500.0
A0000144,C000414,Savings,2022-04-19,Active,-1500.0
A0000145,C000181,Payroll,2016-02-15,Active,6127.14
A0000146,C000575,Current,2015-02-11,Active,-1500.0
A0000147,C000502,Payroll,2016-05-24,Active,4580.45
A0000148,C000475,Savings,2019-10-10,Active,8644.25
A0000149,C000983,Current,2023-08-04,Active,8653.09
A0000150,C000532,Current,2015-08-08,Active,5303.92
A0000151,C000412,Current,2014-06-06,Active,5193.48
A0000152,C000068,Payroll,2019-04-13,Active,11057.25
A0000153,C000290,Current,2023-11-26,Active,-1500.0
A0000154,C000898,Savings,2019-07-10,Active,735.52
A0000155,C000452,Savings,2023-03-29,Active,5724.27
A0000156,C000911,Payroll,2020-06-02,Active,1218.31
A0000157,C000533,Savings,2014-04-26,Active,7211.16
A0000158,C000549,Savings,2018-04-10,Active,2350.45
A0000159,C000430,Current,2021-09-11,Active,3000.63
A0000160,C000557,Payroll,2019-02-03,Active,1456.24
A0000161,C000067,Current,2015-12-13,Inactive,514.46
A0000162,C000058,Current,2015-10-23,Active,420.98
A0000163,C000476,Payroll,2020-08-18,Active,3530.43
A0000164,C000598,Current,2018-08-18,Active,-443.35
A0000165,C000551,Current,2019-09-27,Active,6122.18
A0000166,C000430,Savings,2017-09-23,Inactive,4982.26
A0000167,C000295,Current,2017-05-22,Active,6677.78
A0000168,C000710,Current,2020-08-28,Active,-1500.0
