customer_id,gender,birth_year,city,segment,employment_status,customer_since,declared_income_eur
C000001,M,1993,Athens,SME,Retired,2019-01-14,25027.06
C000002,F,1990,Athens,Mass,Self-employed,2020-01-08,20029.21
C000003,F,1981,Athens,Premium,Salaried,2013-09-29,15900.26
C000004,M,1997,Athens,Affluent,Unemployed,2014-12-30,6435.09
C000005,M,1961,Thessaloniki,Mass,Salaried,2023-03-23,23852.32
C000006,F,1999,Athens,Premium,Unemployed,2021-12-02,
C000007,M,1995,Volos,Mass,Self-employed,2015-10-12,18252.28
C000008,F,1979,Athens,Mass,Salaried,2013-05-16,46619.66
C000009,M,1990,Patras,Mass,Salaried,2014-03-20,23515.69
C000010,M,1979,Athens,Affluent,Unemployed,2017-07-14,18674.43
C000011,F,1967,Thessaloniki,Mass,Salaried,2017-12-06,19458.4
C000012,F,1993,Thessaloniki,Mass,Retired,2012-07-29,26978.78
C000013,F,1966,Athens,Mass,Unemployed,2010-12-03,10702.07
C000014,F,1970,Volos,Mass,Self-employed,2016-12-05,11932.23
C000015,F,1979,Athens,Mass,Salaried,2021-02-27,44351.51
C000016,F,1995,Athens,Mass,Self-employed,2012-02-19,22999.68
C000017,F,1973,Thessaloniki,Mass,Retired,2015-09-18,33306.09
C000018,M,1978,Larissa,Mass,Salaried,2012-04-05,17750.13
C000019,F,1956,Athens,Affluent,Salaried,2013-05-22,22714.65
C000020,M,1960,Athens,Mass,Salaried,2018-07-26,16914.42
C000021,F,1957,Larissa,Affluent,Salaried,2014-01-02,40909.57
C000022,M,1958,Patras,Mass,Unemployed,2013-09-09,12485.01
C000023,M,1996,Volos,Mass,Salaried,2023-12-06,28400.51
C000024,F,1995,Thessaloniki,Mass,Self-employed,2012-05-30,43063.77
C000025,F,1994,Thessaloniki,Mass,Salaried,2012-08-25,39563.54
C000026,F,1957,Athens,Mass,Salaried,2023-01-04,33571.87
C000027,M,1958,Volos,SME,Salaried,2017-09-12,13398.18
C000028,F,1968,Athens,Mass,Retired,2010-08-08,18175.23
C000029,F,1982,Patras,Mass,Self-employed,2015-12-12,15968.4
C000030,M,1971,Athens,Affluent,Salaried,2017-11-27,33042.97
C000031,M,1978,Thessaloniki,Mass,Unemployed,2013-07-17,11768.31
C000032,M,1963,Patras,Mass,Salaried,2017-09-02,13575.0
C000033,M,1990,Thessaloniki,Mass,Salaried,2019-01-27,22487.78
C000034,F,1970,Larissa,Mass,Salaried,2013-07-04,12996.99
C000035,F,1958,Athens,Mass,Student,2021-05-14,8331.95
C000036,M,1990,Thessaloniki,SME,Self-employed,2016-05-02,12145.86
C000037,F,1998,Athens,Premium,Self-employed,2023-06-25,30397.25
C000038,F,1955,Athens,Mass,Salaried,2011-03-25,28530.94
C000039,M,1975,Athens,Affluent,Salaried,2014-07-15,54248.92
C000040,F,1994,Athens,SME,Self-employed,2020-02-03,34755.98
C000041,M,1988,Athens,Mass,Salaried,2022-07-10,20381.36
C000042,F,1996,Thessaloniki,SME,Retired,2013-02-06,34323.63
C000043,F,1974,Thessaloniki,Affluent,Unemployed,2023-09-19,6090.43
C000044,M,1972,Thessaloniki,Premium,Salaried,2012-09-15,16248.59
C000045,M,1989,Athens,Private,Unemployed,2015-10-28,12599.5
C000046,F,1962,Athens,Mass,Student,2014-05-29,3441.67
C000047,M,1966,Athens,Mass,Salaried,2015-12-09,23966.02
C000048,F,1983,Heraklion,Mass,Self-employed,2022-08-17,15858.95
C000049,F,1987,Larissa,Mass,Retired,2020-04-01,25401.13
C000050,F,1960,Athens,Mass,Salaried,2021-02-21,15480.72
C000051,F,1979,Thessaloniki,Private,Retired,2013-07-21,29091.0
C000052,M,1972,Athens,Mass,Salaried,2023-04-01,24541.42
C000053,M,1979,Athens,Mass,Self-employed,2016-02-04,43833.5
C000054,M,2001,Athens,SME,Unemployed,2019-02-14,10985.38
C000055,M,1958,Athens,Mass,Self-employed,2019-10-06,17626.7
C000056,M,2002,Thessaloniki,Mass,Salaried,2019-04-11,21945.29
C000057,F,1976,Larissa,Private,Self-employed,2018-06-03,13841.42
C000058,M,1992,Athens,Mass,Salaried,2016-09-18,28870.56
C000059,F,1975,Thessaloniki,Mass,Salaried,2019-01-23,31186.39
C000060,F,1969,Patras,Mass,Salaried,2022-08-31,68669.63
C000061,F,1991,Volos,Premium,Self-employed,2015-06-15,18747.75
C000062,F,1988,Thessaloniki,Mass,Salaried,2017-02-23,21753.42
C000063,M,1961,Athens,Mass,Salaried,2012-07-09,19114.1
C000064,F,1988,Thessaloniki,Mass,Retired,2014-12-20,26611.21
C000065,M,1991,Athens,Mass,Salaried,2020-10-20,28575.64
C000066,M,1973,Volos,Premium,Salaried,2018-12-17,23803.37
C000067,F,1999,Athens,Mass,Salaried,2012-12-14,38417.06
C000068,M,1985,Patras,Private,Salaried,2017-08-22,18786.03
C000069,M,1971,Athens,Mass,Self-employed,2021-05-12,36834.61
C000070,M,1955,Athens,Mass,Salaried,2011-09-26,30520.96
C000071,F,1987,Larissa,SME,Salaried,2010-11-13,24220.32
C000072,M,1965,Thessaloniki,Mass,Student,2015-06-30,7464.43
C000073,M,1991,Athens,Mass,Unemployed,2019-03-09,30354.28
C000074,M,1980,Volos,SME,Self-employed,2014-05-21,17272.25
C000075,F,1977,Larissa,Mass,Retired,2021-06-27,27587.88
C000076,M,1962,Athens,Mass,Retired,2021-11-06,17763.62
C000077,M,1989,Thessaloniki,Private,Salaried,2017-06-14,51532.13
C000078,M,1962,Athens,Mass,Self-employed,2015-04-20,35329.27
C000079,F,1975,Thessaloniki,Mass,Self-employed,2010-08-02,18307.99
C000080,F,1995,Athens,Mass,Salaried,2021-06-30,30190.72
C000081,F,1999,Athens,Mass,Salaried,2022-07-11,27125.57
C000082,M,2002,Larissa,Mass,Salaried,2016-03-10,19594.76
C000083,M,2000,Volos,Affluent,Self-employed,2017-03-24,33470.81
C000084,F,1981,Larissa,Mass,Unemployed,2020-07-17,12900.23
C000085,F,1964,Volos,Affluent,Unemployed,2019-09-24,11993.09
C000086,F,1995,Patras,Mass,Salaried,2011-11-23,23918.17
C000087,M,1993,Heraklion,Mass,Salaried,2019-05-29,29174.28
C000088,M,2002,Heraklion,Mass,Salaried,2022-12-08,26804.98
C000089,F,1986,Athens,Affluent,Salaried,2020-07-03,24954.74
C000090,F,1961,Athens,Mass,Retired,2016-09-21,18597.33
C000091,M,1979,Athens,Mass,Retired,2017-04-27,49581.93
C000092,F,1976,Thessaloniki,SME,Retired,2013-08-20,15659.35
C000093,F,1995,Athens,Affluent,Retired,2019-03-31,29132.43
C000094,M,1973,Athens,Mass,Student,2013-05-19,7447.82
C000095,F,1970,Thessaloniki,Premium,Salaried,2014-10-13,50970.88
C000096,M,1958,Athens,Mass,Salaried,2013-09-16,16656.19
C000097,M,1995,Athens,Mass,Salaried,2014-09-10,17875.56
C000098,F,1991,Heraklion,Mass,Salaried,2015-02-17,16198.54
C000099,F,1956,Larissa,Mass,Salaried,2011-03-01,27885.31
C000100,M,1975,Athens,Mass,Salaried,2020-01-15,13674.92
C000101,F,1978,Athens,Affluent,Student,2016-03-03,6968.78
C000102,M,1977,Athens,Mass,Salaried,2023-04-15,9857.68
C000103,F,1999,Heraklion,SME,Student,2012-07-13,9425.32
C000104,M,1962,Heraklion,Premium,Unemployed,2019-05-12,8878.63
C000105,F,1969,Athens,Affluent,Self-employed,2012-07-04,13030.08
C000106,F,1963,Heraklion,Affluent,Self-employed,2017-08-28,38405.5
C000107,F,1966,Athens,Affluent,Salaried,2016-11-13,14055.65
C000108,F,1998,Athens,Private,Self-employed,2016-04-11,34020.42
C000109,M,2000,Volos,Mass,Salaried,2019-02-28,18134.34
C000110,F,1957,Athens,Mass,Retired,2021-08-03,47698.73
C000111,M,1985,Athens,Mass,Salaried,2014-06-07,33349.94
C000112,F,1966,Athens,Mass,Salaried,2021-11-20,15940.53
C000113,F,1964,Thessaloniki,Mass,Self-employed,2012-08-02,16561.32
C000114,M,1969,Volos,Affluent,Self-employed,2014-02-06,31392.38
C000115,F,1964,Volos,Mass,Salaried,2014-05-07,21802.96
C000116,F,1978,Athens,Premium,Self-employed,2023-05-04,22671.78
C000117,M,2002,Athens,Mass,Salaried,2011-08-29,41537.02
C000118,M,1983,Heraklion,Mass,Self-employed,2015-07-13,17775.04
C000119,M,1989,Athens,Mass,Salaried,2015-12-09,25294.53
C000120,M,1978,Larissa,Mass,Salaried,2021-03-12,36349.79
C000121,M,1955,Thessaloniki,Mass,Salaried,2016-10-18,34194.82
C000122,F,1959,Athens,Mass,Salaried,2023-07-12,22764.62
C000123,F,1967,Heraklion,Mass,Salaried,2020-05-11,21561.39
C000124,M,1966,Athens,Mass,Salaried,2019-11-05,11727.57
C000125,F,1995,Athens,Mass,Salaried,2020-07-14,15621.09
C000126,F,1995,Thessaloniki,Mass,Salaried,2012-04-05,27825.58
C000127,M,1995,Thessaloniki,Mass,Salaried,2016-04-13,22973.34
C000128,F,1985,Patras,Mass,Salaried,2018-03-15,25121.25
C000129,F,1981,Thessaloniki,Mass,Self-employed,2012-12-01,37665.0
C000130,F,1986,Volos,Mass,Retired,2011-08-30,14784.35
C000131,F,1974,Volos,Mass,Salaried,2011-11-25,22044.19
C000132,F,1987,Thessaloniki,Affluent,Retired,2021-01-15,26350.92
C000133,M,1993,Athens,Private,Salaried,2019-03-11,18110.6
C000134,F,1991,Patras,Premium,Salaried,2013-12-08,44410.02
C000135,F,1984,Volos,Mass,Self-employed,2020-04-25,35653.64
C000136,M,1957,Athens,Mass,Unemployed,2019-09-23,12373.94
C000137,F,1989,Athens,Mass,Retired,2021-06-04,51718.84
C000138,M,1972,Athens,SME,Salaried,2022-09-25,12970.9
C000139,M,1990,Athens,SME,Unemployed,2022-05-06,10918.86
C000140,M,1980,Thessaloniki,SME,Salaried,2012-07-13,28391.97
C000141,F,1997,Athens,Premium,Salaried,2020-10-05,16578.91
C000142,M,1971,Heraklion,Mass,Salaried,2015-07-01,27620.13
