loan_id,customer_id,loan_type,open_date,original_principal_eur,current_balance_eur,monthly_installment_eur,days_past_due,loan_status
L0000001,C000627,Consumer,2020-11-17,5959.12,5632.13,24.47,15,Active
L0000002,C000638,SME,2018-06-04,86673.1,23753.09,607.28,0,Active
L0000003,C000598,Consumer,2021-12-25,6958.2,472.64,177.55,5,Closed
L0000004,C000722,Auto,2023-12-23,23221.05,6982.25,482.29,0,Active
L0000005,C000558,Auto,2023-06-20,20912.12,8731.88,152.25,0,Active
L0000006,C000705,Consumer,2021-06-28,16588.93,9007.93,113.59,0,Active
L0000007,C000487,Consumer,2018-11-17,9426.44,1053.02,43.5,0,Active
L0000008,C000151,Mortgage,2023-04-06,84417.15,64274.04,382.16,0,Active
L0000009,C000080,Consumer,2023-06-01,13891.86,11015.57,66.45,0,Active
L0000010,C000908,SME,2016-01-17,47691.46,11533.92,285.13,0,Active
L0000011,C000441,Consumer,2018-09-15,5844.86,4492.22,613.9,0,Closed
L0000012,C000323,Auto,2020-05-31,31569.68,11847.6,195.03,0,Active
L0000013,C000294,Consumer,2020-08-14,8042.96,3464.9,36.15,0,Active
L0000014,C000052,Consumer,2021-09-11,7031.84,6277.67,27.35,60,Active
L0000015,C000946,SME,2020-02-08,48946.61,41737.45,222.07,0,Active
L0000016,C000084,Mortgage,2016-02-10,176378.64,68364.3,23499.01,0,Active
L0000017,C000220,Consumer,2017-04-28,1166.32,570.68,8.38,0,Active
L0000018,C000458,Consumer,2022-02-04,17849.42,5495.33,103.76,0,Active
L0000019,C000359,Mortgage,2021-07-17,78983.69,40589.0,1111.66,5,Active
L0000020,C000040,Mortgage,2021-03-17,131903.64,87546.7,1220.71,0,Active
L0000021,C000330,Auto,2019-07-11,13267.95,1769.96,379.47,0,Active
L0000022,C000780,Mortgage,2018-03-13,209636.26,184030.66,3624.02,0,Active
L0000023,C000251,Auto,2018-06-18,18872.34,13153.77,3196.55,0,Active
L0000024,C000866,Consumer,2021-07-04,8459.54,1159.61,32.04,0,Active
L0000025,C000361,Mortgage,2020-01-12,106450.89,88576.73,484.79,0,Active
L0000026,C000014,Consumer,2017-01-17,12448.19,8954.16,106.33,0,Active
L0000027,C000109,Mortgage,2019-03-12,127995.45,42470.7,22417.97,0,Closed
L0000028,C000811,Auto,2022-08-03,21071.34,10942.13,197.18,0,Closed
L0000029,C000406,Consumer,2020-10-15,11992.98,9883.62,88.13,0,Closed
L0000030,C000982,Mortgage,2022-12-04,58027.69,53461.67,1169.57,0,Active
L0000031,C000789,Consumer,2020-01-25,10298.66,3120.18,56.19,0,Active
L0000032,C000031,Consumer,2019-11-18,15033.29,9553.69,57.4,0,Active
L0000033,C000313,Consumer,2023-08-04,8650.59,7130.01,34.69,0,Active
L0000034,C000725,Mortgage,2020-01-21,150275.16,141160.99,595.14,0,Active
L0000035,C000064,Mortgage,2017-01-29,121427.32,13799.81,570.58,0,Active
L0000036,C001000,Consumer,2019-03-19,10911.3,5491.22,435.42,0,Active
L0000037,C000167,Auto,2021-03-06,26359.01,22044.02,183.29,0,Active
L0000038,C000798,Consumer,2018-10-05,3309.34,174.87,21.98,0,Closed
L0000039,C000841,Consumer,2019-04-12,8623.4,3824.58,240.22,0,Active
L0000040,C000506,Mortgage,2022-12-23,175459.29,101025.75,4165.69,0,Active
L0000041,C000804,Auto,2019-06-24,30810.34,16139.73,217.44,0,Active
L0000042,C000885,Mortgage,2018-06-09,222869.66,158125.0,1233.0,0,Active
L0000043,C000735,Consumer,2016-11-10,12251.78,1335.07,174.21,0,Closed
L0000044,C000708,Consumer,2019-03-22,14289.49,10815.36,107.36,0,Closed
L0000045,C000389,Mortgage,2022-02-16,156784.25,47796.23,6853.72,0,Active
L0000046,C000293,Consumer,2018-05-25,18375.38,14549.74,546.24,0,Active
L0000047,C000868,Mortgage,2019-10-06,134089.14,57328.35,790.13,90,Active
L0000048,C000225,Consumer,2021-04-01,16630.74,1473.93,99.23,0,Active
L0000049,C000415,Mortgage,2023-06-02,140689.82,129086.19,719.31,0,Active
L0000050,C000513,Consumer,2022-07-05,14611.12,10994.79,63.23,0,Active
L0000051,C000391,Consumer,2018-04-15,7408.15,2689.41,148.62,0,Active
L0000052,C000373,Mortgage,2017-04-24,105185.38,30821.91,1212.33,0,Active
L0000053,C000600,Consumer,2021-05-12,9386.15,5444.6,38.41,60,Active
L0000054,C000330,Auto,2018-01-13,9677.73,9083.18,547.35,0,Active
L0000055,C000989,SME,2019-02-19,13709.87,4265.83,53.98,0,Active
L0000056,C000178,Mortgage,2016-10-30,100936.76,91190.71,348.94,0,Active
L0000057,C000389,Mortgage,2022-03-11,108125.3,37557.15,3001.07,0,Active
L0000058,C000846,Consumer,2017-04-12,12525.19,8563.32,327.29,0,Active
L0000059,C000476,Auto,2019-01-16,21890.16,8615.11,105.3,30,Active
L0000060,C000706,Consumer,2019-04-03,12940.61,1637.6,97.7,15,Active
L0000061,C000647,Consumer,2016-05-04,10715.44,9564.29,39.09,0,Active
L0000062,C000332,Auto,2022-03-15,11594.12,2290.25,73.16,0,Active
L0000063,C000745,Mortgage,2020-12-11,159468.11,143556.75,895.05,0,Active
L0000064,C000238,Consumer,2020-04-30,11490.89,1642.92,145.68,0,Active
L0000065,C000750,Consumer,2017-06-03,9831.05,2853.49,103.57,0,Active
L0000066,C000129,Consumer,2016-06-04,11067.73,9726.66,208.72,0,Active
L0000067,C000695,Auto,2016-06-11,12870.79,8271.89,312.84,60,Active
L0000068,C000113,Consumer,2020-12-30,9346.63,2061.26,278.07,0,Active
L0000069,C000869,Consumer,2021-12-23,9187.71,5355.37,41.31,5,Active
L0000070,C000626,Consumer,2022-05-11,10563.31,2243.14,431.83,5,Active
L0000071,C000041,Mortgage,2022-05-26,149508.97,125138.69,944.93,0,Active
L0000072,C000109,Auto,2019-02-22,20849.78,1977.51,143.97,0,Active
L0000073,C000188,Auto,2016-01-04,28827.16,15186.15,1623.39,0,Active
L0000074,C000961,SME,2017-12-16,85293.23,9137.1,341.95,30,Active
L0000075,C000590,Auto,2022-04-17,31694.95,21410.59,207.66,0,Closed
L0000076,C000280,Mortgage,2022-02-08,145162.13,129516.2,4163.46,5,Active
L0000077,C000277,Consumer,2020-01-22,14715.53,11742.4,422.64,0,Active
L0000078,C000026,Consumer,2016-03-10,9562.92,3677.47,45.08,0,Closed
L0000079,C000204,Mortgage,2022-03-18,157170.67,41369.59,987.2,15,Default
L0000080,C000856,Consumer,2022-07-09,8719.42,1385.73,74.08,0,Active
L0000081,C000599,Consumer,2017-10-24,4647.72,3886.71,40.81,0,Active
L0000082,C000368,Mortgage,2022-06-06,188684.55,23207.86,12967.42,0,Active
L0000083,C000022,Auto,2021-02-11,9255.73,5701.03,765.46,0,Active
L0000084,C000343,Mortgage,2023-02-05,139748.33,53179.93,861.98,0,Closed
L0000085,C000383,Consumer,2021-01-03,7598.34,7189.56,80.18,0,Active
L0000086,C000119,Auto,2016-09-18,25886.67,13148.9,307.96,0,Active
L0000087,C000608,Consumer,2021-03-04,18314.75,9961.61,178.23,0,Active
L0000088,C000661,Mortgage,2016-11-10,143813.0,125994.56,900.44,0,Active
L0000089,C000999,Consumer,2018-01-25,18231.82,16822.02,233.07,0,Active
L0000090,C000359,Auto,2022-12-23,18051.36,10384.46,205.22,0,Active
L0000091,C000276,Auto,2023-09-27,33639.22,25786.61,444.55,5,Active
L0000092,C000823,Consumer,2019-10-19,15730.83,9773.41,91.54,0,Active
L0000093,C000351,Mortgage,2018-04-30,79475.18,34544.71,3706.93,90,Default
L0000094,C000631,Consumer,2019-02-19,12348.03,1254.36,55.83,0,Active
L0000095,C000738,Mortgage,2017-12-08,113137.41,78740.18,730.05,0,Active
L0000096,C000880,Auto,2020-08-01,16247.03,11051.82,226.88,0,Active
L0000097,C000319,Auto,2019-05-14,6400.03,992.21,30.76,0,Active
L0000098,C000623,Auto,2016-06-20,20708.05,5323.25,78.44,0,Active
L0000099,C000132,SME,2020-11-16,20356.18,14430.81,998.42,0,Active
L0000100,C000780,Consumer,2021-02-22,1000.0,184.74,15.98,0,Active
L0000101,C000046,SME,2021-05-01,46399.66,31173.22,987.91,30,Closed
L0000102,C000697,Consumer,2023-07-22,8220.53,5722.97,388.39,0,Active
L0000103,C000210,Mortgage,2021-08-17,81230.83,29893.72,447.44,0,Closed
L0000104,C000463,Auto,2021-05-27,1000.0,282.36,17.72,0,Active
L0000105,C000077,Auto,2017-09-09,12044.1,4645.84,126.43,0,Active
L0000106,C000689,SME,2019-09-18,50658.95,18909.82,222.22,0,Active
L0000107,C000483,Mortgage,2019-06-22,91463.07,54541.06,527.13,30,Closed
L0000108,C000664,Consumer,2023-09-06,13936.72,10026.96,83.29,30,Active
L0000109,C000348,Auto,2019-10-17,27748.62,22908.64,930.29,0,Active
L0000110,C000007,Mortgage,2021-07-03,143236.53,11028.22,580.21,0,Active
L0000111,C000581,Consumer,2020-04-27,17131.97,12059.13,613.22,0,Closed
L0000112,C000699,Consumer,2016-06-15,17545.63,5838.62,87.9,0,Active
L0000113,C000665,Mortgage,2023-06-25,74151.27,59675.29,374.59,0,Active
L0000114,C000263,Mortgage,2021-05-10,139760.16,16512.0,1364.61,0,Active
L0000115,C000717,Auto,2017-11-03,24966.1,13632.92,100.89,5,Active
L0000116,C000542,Mortgage,2016-06-23,100381.78,54588.24,411.37,0,Active
L0000117,C000211,Auto,2023-06-28,12465.61,4286.43,471.96,0,Active
