transaction_id,customer_id,card_id,transaction_date,year_month,mcc_code,merchant_category,transaction_type,amount_eur,channel
T000000001,C000290,CC0000604,2024-01-06,202401,4511,Airlines,Debit,611.8,POS
T000000002,C000118,CC0000060,2025-02-02,202502,5541,Fuel,Debit,24.54,POS
T000000003,C000025,CC0000999,2024-01-19,202401,4722,Travel Agencies,Debit,238.08,POS
T000000004,C999999,CC0000589,2024-01-19,202401,5691,Clothing,Debit,116.63,POS
T000000005,C000158,CC0000388,2024-04-22,202404,5691,Clothing,Debit,26.3,POS
T000000006,C000681,CC0000599,2024-12-24,202412,7011,Hotels,Debit,293.79,POS
T000000007,C000749,CC0000873,2025-06-30,202506,5812,Restaurants,Debit,74.51,POS
T000000008,C000239,CC0000507,2024-10-25,202410,5311,Department Stores,Debit,-99999.0,Ecommerce
T000000009,C000027,CC0000660,2025-07-19,202507,5912,Pharmacy,Refund,-45.79,Ecommerce
T000000010,C000288,CC0000436,2025-01-25,202501,4111,Transport,Debit,123.82,ATM
T000000011,C000381,CC0000627,2025-10-14,202510,5311,Department Stores,Debit,43.74,POS
T000000012,C000876,CC0000292,2024-09-30,202409,5411,Groceries,Debit,161.09,Ecommerce
T000000013,C000637,CC0000885,2024-08-07,202408,5411,Groceries,Debit,63.24,POS
T000000014,C000472,CC0000671,2024-02-25,202402,4900,Utilities,Debit,36.44,Ecommerce
T000000015,C000225,CC0000213,2024-06-08,202406,5912,Pharmacy,Debit,179.72,Ecommerce
T000000016,C000170,CC0000703,2024-02-02,202402,5411,Groceries,Debit,157.29,Ecommerce
T000000017,C000394,CC0000676,2024-05-06,202405,5912,Pharmacy,Debit,38.6,POS
T000000018,C000191,CC0000886,2025-11-24,202511,5541,Fuel,Debit,8.98,POS
T000000019,C000105,CC0000129,2025-02-01,202502,5812,Restaurants,Debit,112.69,POS
T000000020,C000728,CC0000958,2025-03-16,202503,4111,Transport,Debit,5.97,Ecommerce
